query_id,consensus_law,style,query_text,gold_label_mentioned,any_law_mentioned,mentioned_laws
VwGVG_T038_nl_long_v01,VwGVG,nl_long,"Anfang Dezember 2025 in Schwechat: Revision an den VwGH: Voraussetzungen und Fristen: Fristen. Belege: E-Mail-Korrespondenz. Unklar ist die Zuständigkeit (Landesverwaltungsgericht oder Gericht). Welche Voraussetzungen sind relevant, welche Nachweise brauche ich und wo ist einzubringen?",False,False,
NAG_T059_nl_short_v02,NAG,nl_short,Welche Kosten/Risiken gibt es bei Erwerbstätigkeit: Frage zu Quotenplatz und Antragstellung: Durchsetzung?,False,False,
NoVAG_T009_nl_long_v03,NoVAG,nl_long,"Ich bin Aktionär:in in Amstetten. vor einem Monat gab es mit Finanzamt ein Problem: Sanktionen zu NoVA bei Leasing. Betrag: 380 EUR. Belege: Rechnung. Wie gehe ich praktisch vor (Frist, Zuständigkeit, Beweise, Kosten)? unter Bezug auf NoVAG",True,True,NoVAG
UStG_T058_procedural_v03,UStG,procedural,"Umsatzsteuer-Voranmeldung (UVA): Frist und Zahlung - Zustellung - UVA: Welche Fristen gelten, was sind typische Nachweise und wer entscheidet?",False,False,
FAGG_T044_nl_short_v03,FAGG,nl_short,Welche Sanktionen drohen bei Frage zu Rücksendekosten und Rückerstattung bei Online-Bestellung von Waschmaschine: Zustellung?,False,False,
VfGG_T022_fragment_v01,VfGG,fragment,Frage zu Vertretungspflicht im VfGH-Verfahren: Sanktionen Landesverwaltungsgericht,False,False,
TSchG_T024_scenario_v02,TSchG,scenario,Sachverhalt: Ich bin Opfer in Klagenfurt. im September 2024 gab es mit Gemeinde ein Problem: Tierärztliche Auflagen und Amtstierarzt - Voraussetzungen. Betrag: 380 EUR. Kommunikation via Chat. Belege: Antrag. Es liegt ein Schreiben/Bescheid von VwGH vor. Frage: Welche Regelungen sind einschlägig?,False,False,
DSGVO_T030_nl_short_v03,DSGVO,nl_short,Was kann ich bei Form/Antrag zu Loeschung/Recht auf Vergessenwerden tun?,False,False,
DSGVO_T052_fragment_v02,DSGVO,fragment,DSFA: Nachweise/Beweise zu Rechtsgrundlage: Vertrag vs. berechtigtes Interesse Telefon Protokoll,False,False,
AußStrG_T052_nl_short_v03,AußStrG,nl_short,Welche Kosten/Risiken gibt es bei Fristen für Rekurs/Revisionsrekurs: Zustellung (Beschluss)?,False,False,
VfGG_T049_procedural_v03,VfGG,procedural,"Welche Formvorschriften gelten bei Frage zu Vertretungspflicht im VfGH-Verfahren: Form/Antrag (schriftlich, Frist, Begründung)?",False,False,
FPG_T015_nl_long_v03,FPG,nl_long,Kurzfall: Ausweisung nach Verwaltungsübertretung: Zuständigkeit - Beschuldigte:r (Wiener Neustadt) vs Arbeitgeber:in. Kommunikation via persönlich am Schalter. Welche Ansprüche/Rechtsfolgen kommen in Betracht und welche Fristen laufen?,False,False,
AWG_T048_scenario_v03,AWG,scenario,"Sachverhalt (Leoben, gestern): Fristen zu Illegale Ablagerung und Verwaltungsstrafe. Beteiligte: Arbeitgeber:in vs Entsorgungsbetrieb. Belege: Vertrag. Unklar ist die Zuständigkeit (Bezirkshauptmannschaft oder Gericht). Welche Ansprüche kann ich geltend machen? - bitte mit Hinweis zu Fristen und Zuständigkeit.",False,False,
GSVG_T037_fragment_v01,GSVG,fragment,SVS: Frage zu Unfallversicherung und Arbeitsunfall: Ausnahmen Hotline Chatverlauf,False,False,
WRG_T038_fragment_v03,WRG,fragment,Wasserrecht: Frage zu Einleitung von Abwasser in Gewässer: Rechtsmittel Einschreiben Bescheid (nach WRG),True,True,WRG
